* This is the BiomeMobWeight report file that is output every time the server starts.,RESTART GAME FOR CHANGES TO TAKE EFFECT,,NEGATIVE WEIGHT = NO SPAWN,SERVERCORE CONFIG FOR MOB CATEGORY CAPS,,,
7214, none, minecraft:the_void, MONSTER, born_in_chaos_v1:dire_hound_leader,4,1,1
7215, none, minecraft:the_void, MONSTER, born_in_chaos_v1:door_knight,13,1,1
7216, none, minecraft:the_void, MONSTER, born_in_chaos_v1:dread_hound,15,3,5
7217, none, minecraft:the_void, MONSTER, realmrpg_wyrms:ender_wyrm,1,1,3
7218, none, minecraft:the_void, MONSTER, born_in_chaos_v1:fallen_chaos_knight,5,1,1
7219, none, minecraft:the_void, MONSTER, born_in_chaos_v1:krampus,2,1,1
7220, none, minecraft:the_void, MONSTER, born_in_chaos_v1:krampus_henchman,9,2,3
7221, none, minecraft:the_void, MONSTER, born_in_chaos_v1:lifestealer,3,1,1
7222, none, minecraft:the_void, MONSTER, born_in_chaos_v1:missioner,4,1,1
7223, none, minecraft:the_void, MONSTER, born_in_chaos_v1:mother_spider,15,1,1
7224, none, minecraft:the_void, MONSTER, mowziesmobs:grottol,2,1,1
7225, none, minecraft:the_void, MONSTER, born_in_chaos_v1:mr_pumpkin,15,1,3
7226, none, minecraft:the_void, MONSTER, born_in_chaos_v1:nightmare_stalker,4,1,1
7227, none, minecraft:the_void, MONSTER, born_in_chaos_v1:phantom_creeper,8,1,1
7228, none, minecraft:the_void, MONSTER, realmrpg_wyrms:red_wyrm,1,1,1
7229, none, minecraft:the_void, MONSTER, born_in_chaos_v1:restless_spirit,20,1,1
7230, none, minecraft:the_void, MONSTER, born_in_chaos_v1:siamese_skeletons,16,1,1
7231, none, minecraft:the_void, MONSTER, born_in_chaos_v1:sir_pumpkinhead,4,1,1
7232, none, minecraft:the_void, MONSTER, born_in_chaos_v1:skeleton_demoman,12,1,1
7233, none, minecraft:the_void, MONSTER, born_in_chaos_v1:skeleton_thrasher,8,1,1
7234, none, minecraft:the_void, MONSTER, born_in_chaos_v1:spirit_guide_assistant,9,2,2
7235, none, minecraft:the_void, MONSTER, born_in_chaos_v1:spirit_guide,16,1,1
7236, none, minecraft:the_void, MONSTER, born_in_chaos_v1:spiritof_chaos,8,1,1
7237, none, minecraft:the_void, MONSTER, born_in_chaos_v1:supreme_bonescaller,1,1,1
7238, none, minecraft:the_void, MONSTER, born_in_chaos_v1:swarmer,11,1,1
7239, none, minecraft:the_void, MONSTER, born_in_chaos_v1:zombie_bruiser,16,1,1
7240, none, minecraft:the_void, MONSTER, born_in_chaos_v1:zombie_clown,8,1,1
7241, none, minecraft:the_void, MONSTER, born_in_chaos_v1:zombie_fisherman,30,1,1
7242, none, minecraft:the_void, MONSTER, born_in_chaos_v1:zombie_lumberjack,25,1,1
7243, none, minecraft:the_void, CREATURE, born_in_chaos_v1:thornshell_crab,8,1,1
7244, none, minecraft:the_void, WATER_CREATURE, born_in_chaos_v1:corpse_fish,5,3,5
7245, none, minecraft:the_void, WATER_CREATURE, born_in_chaos_v1:glutton_fish,2,1,1
7246, none, voidscape:thunder_forest, MONSTER, alexsmobs:farseer,30,1,1
7247, none, voidscape:thunder_forest, MONSTER, born_in_chaos_v1:baby_skeleton,25,1,2
7248, none, voidscape:thunder_forest, MONSTER, born_in_chaos_v1:baby_spider,16,3,5
7249, none, voidscape:thunder_forest, MONSTER, born_in_chaos_v1:barrel_zombie,25,1,1
7250, none, voidscape:thunder_forest, MONSTER, born_in_chaos_v1:bloody_gadfly,15,1,1
7251, none, voidscape:thunder_forest, MONSTER, born_in_chaos_v1:bonescaller,11,1,1
7252, none, voidscape:thunder_forest, MONSTER, born_in_chaos_v1:corpse_fly,12,1,3
7253, none, voidscape:thunder_forest, MONSTER, born_in_chaos_v1:dark_vortex,14,1,1
7254, none, voidscape:thunder_forest, MONSTER, born_in_chaos_v1:decaying_zombie,30,1,1
7255, none, voidscape:thunder_forest, MONSTER, born_in_chaos_v1:decrepit_skeleton,20,1,1
7256, none, voidscape:thunder_forest, MONSTER, born_in_chaos_v1:dire_hound_leader,4,1,1
7257, none, voidscape:thunder_forest, MONSTER, born_in_chaos_v1:door_knight,13,1,1
7258, none, voidscape:thunder_forest, MONSTER, born_in_chaos_v1:dread_hound,15,3,5
7259, none, voidscape:thunder_forest, MONSTER, realmrpg_wyrms:ender_wyrm,1,1,3
7260, none, voidscape:thunder_forest, MONSTER, born_in_chaos_v1:fallen_chaos_knight,5,1,1
7261, none, voidscape:thunder_forest, MONSTER, born_in_chaos_v1:krampus,2,1,1
7262, none, voidscape:thunder_forest, MONSTER, born_in_chaos_v1:krampus_henchman,9,2,3
7263, none, voidscape:thunder_forest, MONSTER, born_in_chaos_v1:lifestealer,3,1,1
7264, none, voidscape:thunder_forest, MONSTER, born_in_chaos_v1:missioner,4,1,1
7265, none, voidscape:thunder_forest, MONSTER, born_in_chaos_v1:mother_spider,15,1,1
7266, none, voidscape:thunder_forest, MONSTER, mowziesmobs:grottol,2,1,1
7267, none, voidscape:thunder_forest, MONSTER, born_in_chaos_v1:mr_pumpkin,15,1,3
7268, none, voidscape:thunder_forest, MONSTER, born_in_chaos_v1:nightmare_stalker,4,1,1
7269, none, voidscape:thunder_forest, MONSTER, born_in_chaos_v1:phantom_creeper,8,1,1
7270, none, voidscape:thunder_forest, MONSTER, realmrpg_wyrms:red_wyrm,1,1,1
7271, none, voidscape:thunder_forest, MONSTER, born_in_chaos_v1:restless_spirit,20,1,1
7272, none, voidscape:thunder_forest, MONSTER, born_in_chaos_v1:siamese_skeletons,16,1,1
7273, none, voidscape:thunder_forest, MONSTER, born_in_chaos_v1:sir_pumpkinhead,4,1,1
7274, none, voidscape:thunder_forest, MONSTER, born_in_chaos_v1:skeleton_demoman,12,1,1
7275, none, voidscape:thunder_forest, MONSTER, born_in_chaos_v1:skeleton_thrasher,8,1,1
7276, none, voidscape:thunder_forest, MONSTER, born_in_chaos_v1:spirit_guide_assistant,9,2,2
7277, none, voidscape:thunder_forest, MONSTER, born_in_chaos_v1:spirit_guide,16,1,1
7278, none, voidscape:thunder_forest, MONSTER, born_in_chaos_v1:spiritof_chaos,8,1,1
7279, none, voidscape:thunder_forest, MONSTER, born_in_chaos_v1:supreme_bonescaller,1,1,1
7280, none, voidscape:thunder_forest, MONSTER, born_in_chaos_v1:swarmer,11,1,1
7281, none, voidscape:thunder_forest, MONSTER, born_in_chaos_v1:zombie_bruiser,16,1,1
7282, none, voidscape:thunder_forest, MONSTER, born_in_chaos_v1:zombie_clown,8,1,1
7283, none, voidscape:thunder_forest, MONSTER, born_in_chaos_v1:zombie_fisherman,30,1,1
7284, none, voidscape:thunder_forest, MONSTER, born_in_chaos_v1:zombie_lumberjack,25,1,1
7285, none, voidscape:thunder_forest, CREATURE, born_in_chaos_v1:thornshell_crab,8,1,1
7286, none, voidscape:thunder_forest, WATER_CREATURE, born_in_chaos_v1:corpse_fish,5,3,5
7287, none, voidscape:thunder_forest, WATER_CREATURE, born_in_chaos_v1:glutton_fish,2,1,1
7288, none, voidscape:thunder_forest, WATER_AMBIENT, aquaculture:bluegill,20,1,6
7289, none, voidscape:thunder_forest, WATER_AMBIENT, aquaculture:brown_trout,10,1,3
7290, none, voidscape:thunder_forest, WATER_AMBIENT, aquaculture:carp,10,1,3
7291, none, voidscape:thunder_forest, WATER_AMBIENT, aquaculture:catfish,1,1,1
7292, none, voidscape:thunder_forest, WATER_AMBIENT, aquaculture:gar,6,1,2
7293, none, voidscape:thunder_forest, WATER_AMBIENT, aquaculture:minnow,18,1,5
7294, none, voidscape:thunder_forest, WATER_AMBIENT, aquaculture:muskellunge,3,1,1
7295, none, voidscape:thunder_forest, WATER_AMBIENT, aquaculture:perch,20,1,6
7296, none, voidscape:thunder_forest, WATER_AMBIENT, aquaculture:smallmouth_bass,10,1,3
7297, none, voidscape:thunderspires, MONSTER, alexsmobs:farseer,30,1,1
7298, none, voidscape:thunderspires, MONSTER, born_in_chaos_v1:baby_skeleton,25,1,2
7299, none, voidscape:thunderspires, MONSTER, born_in_chaos_v1:baby_spider,16,3,5
7300, none, voidscape:thunderspires, MONSTER, born_in_chaos_v1:barrel_zombie,25,1,1
7301, none, voidscape:thunderspires, MONSTER, born_in_chaos_v1:bloody_gadfly,15,1,1
7302, none, voidscape:thunderspires, MONSTER, born_in_chaos_v1:bonescaller,11,1,1
7303, none, voidscape:thunderspires, MONSTER, born_in_chaos_v1:corpse_fly,12,1,3
7304, none, voidscape:thunderspires, MONSTER, born_in_chaos_v1:dark_vortex,14,1,1
7305, none, voidscape:thunderspires, MONSTER, born_in_chaos_v1:decaying_zombie,30,1,1
7306, none, voidscape:thunderspires, MONSTER, born_in_chaos_v1:decrepit_skeleton,20,1,1
7307, none, voidscape:thunderspires, MONSTER, born_in_chaos_v1:dire_hound_leader,4,1,1
7308, none, voidscape:thunderspires, MONSTER, born_in_chaos_v1:door_knight,13,1,1
7309, none, voidscape:thunderspires, MONSTER, born_in_chaos_v1:dread_hound,15,3,5
7310, none, voidscape:thunderspires, MONSTER, realmrpg_wyrms:ender_wyrm,1,1,3
7311, none, voidscape:thunderspires, MONSTER, born_in_chaos_v1:fallen_chaos_knight,5,1,1
7312, none, voidscape:thunderspires, MONSTER, born_in_chaos_v1:krampus,2,1,1
7313, none, voidscape:thunderspires, MONSTER, born_in_chaos_v1:krampus_henchman,9,2,3
7314, none, voidscape:thunderspires, MONSTER, born_in_chaos_v1:lifestealer,3,1,1
7315, none, voidscape:thunderspires, MONSTER, born_in_chaos_v1:missioner,4,1,1
7316, none, voidscape:thunderspires, MONSTER, born_in_chaos_v1:mother_spider,15,1,1
7317, none, voidscape:thunderspires, MONSTER, mowziesmobs:grottol,2,1,1
7318, none, voidscape:thunderspires, MONSTER, born_in_chaos_v1:mr_pumpkin,15,1,3
7319, none, voidscape:thunderspires, MONSTER, born_in_chaos_v1:nightmare_stalker,4,1,1
7320, none, voidscape:thunderspires, MONSTER, born_in_chaos_v1:phantom_creeper,8,1,1
7321, none, voidscape:thunderspires, MONSTER, realmrpg_wyrms:red_wyrm,1,1,1
7322, none, voidscape:thunderspires, MONSTER, born_in_chaos_v1:restless_spirit,20,1,1
7323, none, voidscape:thunderspires, MONSTER, born_in_chaos_v1:siamese_skeletons,16,1,1
7324, none, voidscape:thunderspires, MONSTER, born_in_chaos_v1:sir_pumpkinhead,4,1,1
7325, none, voidscape:thunderspires, MONSTER, born_in_chaos_v1:skeleton_demoman,12,1,1
7326, none, voidscape:thunderspires, MONSTER, born_in_chaos_v1:skeleton_thrasher,8,1,1
7327, none, voidscape:thunderspires, MONSTER, born_in_chaos_v1:spirit_guide_assistant,9,2,2
7328, none, voidscape:thunderspires, MONSTER, born_in_chaos_v1:spirit_guide,16,1,1
7329, none, voidscape:thunderspires, MONSTER, born_in_chaos_v1:spiritof_chaos,8,1,1
7330, none, voidscape:thunderspires, MONSTER, born_in_chaos_v1:supreme_bonescaller,1,1,1
7331, none, voidscape:thunderspires, MONSTER, born_in_chaos_v1:swarmer,11,1,1
7332, none, voidscape:thunderspires, MONSTER, born_in_chaos_v1:zombie_bruiser,16,1,1
7333, none, voidscape:thunderspires, MONSTER, born_in_chaos_v1:zombie_clown,8,1,1
7334, none, voidscape:thunderspires, MONSTER, born_in_chaos_v1:zombie_fisherman,30,1,1
7335, none, voidscape:thunderspires, MONSTER, born_in_chaos_v1:zombie_lumberjack,25,1,1
7336, none, voidscape:thunderspires, CREATURE, born_in_chaos_v1:thornshell_crab,8,1,1
7337, none, voidscape:thunderspires, WATER_CREATURE, born_in_chaos_v1:corpse_fish,5,3,5
7338, none, voidscape:thunderspires, WATER_CREATURE, born_in_chaos_v1:glutton_fish,2,1,1
7339, none, voidscape:thunderspires, WATER_AMBIENT, aquaculture:bluegill,20,1,6
7340, none, voidscape:thunderspires, WATER_AMBIENT, aquaculture:brown_trout,10,1,3
7341, none, voidscape:thunderspires, WATER_AMBIENT, aquaculture:carp,10,1,3
7342, none, voidscape:thunderspires, WATER_AMBIENT, aquaculture:catfish,1,1,1
7343, none, voidscape:thunderspires, WATER_AMBIENT, aquaculture:gar,6,1,2
7344, none, voidscape:thunderspires, WATER_AMBIENT, aquaculture:minnow,18,1,5
7345, none, voidscape:thunderspires, WATER_AMBIENT, aquaculture:muskellunge,3,1,1
7346, none, voidscape:thunderspires, WATER_AMBIENT, aquaculture:perch,20,1,6
7347, none, voidscape:thunderspires, WATER_AMBIENT, aquaculture:smallmouth_bass,10,1,3
7348, none, snifferplus:timeless_grotto, MONSTER, minecraft:spider,100,4,4
7349, none, snifferplus:timeless_grotto, MONSTER, minecraft:zombie,95,4,4
7350, none, snifferplus:timeless_grotto, MONSTER, minecraft:zombie_villager,5,1,1
7351, none, snifferplus:timeless_grotto, MONSTER, minecraft:skeleton,100,4,4
7352, none, snifferplus:timeless_grotto, MONSTER, minecraft:creeper,100,4,4
7353, none, snifferplus:timeless_grotto, MONSTER, minecraft:slime,100,4,4
7354, none, snifferplus:timeless_grotto, MONSTER, minecraft:enderman,10,1,4
7355, none, snifferplus:timeless_grotto, MONSTER, minecraft:witch,5,1,1
7356, none, snifferplus:timeless_grotto, MONSTER, alexsmobs:farseer,30,1,1
7357, none, snifferplus:timeless_grotto, MONSTER, born_in_chaos_v1:baby_skeleton,25,1,2
7358, none, snifferplus:timeless_grotto, MONSTER, born_in_chaos_v1:baby_spider,16,3,5
7359, none, snifferplus:timeless_grotto, MONSTER, born_in_chaos_v1:barrel_zombie,25,1,1
7360, none, snifferplus:timeless_grotto, MONSTER, born_in_chaos_v1:bloody_gadfly,15,1,1
7361, none, snifferplus:timeless_grotto, MONSTER, born_in_chaos_v1:bonescaller,11,1,1
7362, none, snifferplus:timeless_grotto, MONSTER, born_in_chaos_v1:corpse_fly,12,1,3
7363, none, snifferplus:timeless_grotto, MONSTER, born_in_chaos_v1:dark_vortex,14,1,1
7364, none, snifferplus:timeless_grotto, MONSTER, born_in_chaos_v1:decaying_zombie,30,1,1
7365, none, snifferplus:timeless_grotto, MONSTER, born_in_chaos_v1:decrepit_skeleton,20,1,1
7366, none, snifferplus:timeless_grotto, MONSTER, born_in_chaos_v1:dire_hound_leader,4,1,1
7367, none, snifferplus:timeless_grotto, MONSTER, born_in_chaos_v1:door_knight,13,1,1
7368, none, snifferplus:timeless_grotto, MONSTER, born_in_chaos_v1:dread_hound,15,3,5
7369, none, snifferplus:timeless_grotto, MONSTER, realmrpg_wyrms:ender_wyrm,1,1,3
7370, none, snifferplus:timeless_grotto, MONSTER, born_in_chaos_v1:fallen_chaos_knight,5,1,1
7371, none, snifferplus:timeless_grotto, MONSTER, born_in_chaos_v1:krampus,2,1,1
7372, none, snifferplus:timeless_grotto, MONSTER, born_in_chaos_v1:krampus_henchman,9,2,3
7373, none, snifferplus:timeless_grotto, MONSTER, born_in_chaos_v1:lifestealer,3,1,1
7374, none, snifferplus:timeless_grotto, MONSTER, born_in_chaos_v1:missioner,4,1,1
7375, none, snifferplus:timeless_grotto, MONSTER, born_in_chaos_v1:mother_spider,15,1,1
7376, none, snifferplus:timeless_grotto, MONSTER, mowziesmobs:grottol,2,1,1
7377, none, snifferplus:timeless_grotto, MONSTER, born_in_chaos_v1:mr_pumpkin,15,1,3
7378, none, snifferplus:timeless_grotto, MONSTER, born_in_chaos_v1:nightmare_stalker,4,1,1
7379, none, snifferplus:timeless_grotto, MONSTER, born_in_chaos_v1:phantom_creeper,8,1,1
7380, none, snifferplus:timeless_grotto, MONSTER, realmrpg_wyrms:red_wyrm,1,1,1
7381, none, snifferplus:timeless_grotto, MONSTER, born_in_chaos_v1:restless_spirit,20,1,1
7382, none, snifferplus:timeless_grotto, MONSTER, born_in_chaos_v1:siamese_skeletons,16,1,1
7383, none, snifferplus:timeless_grotto, MONSTER, born_in_chaos_v1:sir_pumpkinhead,4,1,1
7384, none, snifferplus:timeless_grotto, MONSTER, born_in_chaos_v1:skeleton_demoman,12,1,1
7385, none, snifferplus:timeless_grotto, MONSTER, born_in_chaos_v1:skeleton_thrasher,8,1,1
7386, none, snifferplus:timeless_grotto, MONSTER, born_in_chaos_v1:spirit_guide_assistant,9,2,2
7387, none, snifferplus:timeless_grotto, MONSTER, born_in_chaos_v1:spirit_guide,16,1,1
7388, none, snifferplus:timeless_grotto, MONSTER, born_in_chaos_v1:spiritof_chaos,8,1,1
7389, none, snifferplus:timeless_grotto, MONSTER, born_in_chaos_v1:supreme_bonescaller,1,1,1
7390, none, snifferplus:timeless_grotto, MONSTER, born_in_chaos_v1:swarmer,11,1,1
7391, none, snifferplus:timeless_grotto, MONSTER, born_in_chaos_v1:zombie_bruiser,16,1,1
7392, none, snifferplus:timeless_grotto, MONSTER, born_in_chaos_v1:zombie_clown,8,1,1
7393, none, snifferplus:timeless_grotto, MONSTER, born_in_chaos_v1:zombie_fisherman,30,1,1
7394, none, snifferplus:timeless_grotto, MONSTER, born_in_chaos_v1:zombie_lumberjack,25,1,1
7395, none, snifferplus:timeless_grotto, CREATURE, minecraft:sniffer,500,1,2
7396, none, snifferplus:timeless_grotto, CREATURE, naturalist:snail,10,2,3
7397, none, snifferplus:timeless_grotto, CREATURE, born_in_chaos_v1:thornshell_crab,8,1,1
7398, none, snifferplus:timeless_grotto, AMBIENT, minecraft:bat,10,8,8
7399, none, snifferplus:timeless_grotto, WATER_CREATURE, born_in_chaos_v1:corpse_fish,5,3,5
7400, none, snifferplus:timeless_grotto, WATER_CREATURE, born_in_chaos_v1:glutton_fish,2,1,1
7401, none, snifferplus:timeless_grotto, WATER_AMBIENT, aquaculture:bluegill,20,1,6
7402, none, snifferplus:timeless_grotto, WATER_AMBIENT, aquaculture:brown_trout,10,1,3
7403, none, snifferplus:timeless_grotto, WATER_AMBIENT, aquaculture:carp,10,1,3
7404, none, snifferplus:timeless_grotto, WATER_AMBIENT, aquaculture:catfish,1,1,1
7405, none, snifferplus:timeless_grotto, WATER_AMBIENT, aquaculture:gar,6,1,2
7406, none, snifferplus:timeless_grotto, WATER_AMBIENT, aquaculture:minnow,18,1,5
7407, none, snifferplus:timeless_grotto, WATER_AMBIENT, aquaculture:muskellunge,3,1,1
7408, none, snifferplus:timeless_grotto, WATER_AMBIENT, aquaculture:perch,20,1,6
7409, none, snifferplus:timeless_grotto, WATER_AMBIENT, aquaculture:smallmouth_bass,10,1,3
7410, none, alexscaves:toxic_caves, MONSTER, alexscaves:brainiac,160,1,2
7411, none, alexscaves:toxic_caves, MONSTER, alexscaves:nucleeper,45,1,1
7412, none, alexscaves:toxic_caves, MONSTER, minecraft:spider,100,4,4
7413, none, alexscaves:toxic_caves, MONSTER, minecraft:zombie,95,4,4
7414, none, alexscaves:toxic_caves, MONSTER, minecraft:zombie_villager,5,1,1
7415, none, alexscaves:toxic_caves, MONSTER, minecraft:skeleton,100,4,4
7416, none, alexscaves:toxic_caves, MONSTER, minecraft:creeper,100,4,4
7417, none, alexscaves:toxic_caves, MONSTER, minecraft:slime,100,4,4
7418, none, alexscaves:toxic_caves, MONSTER, minecraft:enderman,10,1,4
7419, none, alexscaves:toxic_caves, MONSTER, minecraft:witch,5,1,1
7420, none, alexscaves:toxic_caves, MONSTER, minecraft:drowned,95,4,4
7421, none, alexscaves:toxic_caves, MONSTER, alexsmobs:centipede_head,8,1,1
7422, none, alexscaves:toxic_caves, MONSTER, alexsmobs:farseer,30,1,1
7423, none, alexscaves:toxic_caves, MONSTER, alexsmobs:murmur,5,1,1
7424, none, alexscaves:toxic_caves, MONSTER, born_in_chaos_v1:baby_skeleton,25,1,2
7425, none, alexscaves:toxic_caves, MONSTER, born_in_chaos_v1:baby_spider,16,3,5
7426, none, alexscaves:toxic_caves, MONSTER, born_in_chaos_v1:barrel_zombie,25,1,1
7427, none, alexscaves:toxic_caves, MONSTER, born_in_chaos_v1:bloody_gadfly,15,1,1
7428, none, alexscaves:toxic_caves, MONSTER, born_in_chaos_v1:bonescaller,11,1,1
7429, none, alexscaves:toxic_caves, MONSTER, born_in_chaos_v1:corpse_fly,12,1,3
7430, none, alexscaves:toxic_caves, MONSTER, born_in_chaos_v1:dark_vortex,14,1,1
7431, none, alexscaves:toxic_caves, MONSTER, born_in_chaos_v1:decaying_zombie,30,1,1
7432, none, alexscaves:toxic_caves, MONSTER, born_in_chaos_v1:decrepit_skeleton,20,1,1
7433, none, alexscaves:toxic_caves, MONSTER, born_in_chaos_v1:dire_hound_leader,4,1,1
7434, none, alexscaves:toxic_caves, MONSTER, born_in_chaos_v1:door_knight,13,1,1
7435, none, alexscaves:toxic_caves, MONSTER, born_in_chaos_v1:dread_hound,15,3,5
7436, none, alexscaves:toxic_caves, MONSTER, realmrpg_wyrms:ender_wyrm,1,1,3
7437, none, alexscaves:toxic_caves, MONSTER, born_in_chaos_v1:fallen_chaos_knight,5,1,1
7438, none, alexscaves:toxic_caves, MONSTER, born_in_chaos_v1:krampus,2,1,1
7439, none, alexscaves:toxic_caves, MONSTER, born_in_chaos_v1:krampus_henchman,9,2,3
7440, none, alexscaves:toxic_caves, MONSTER, born_in_chaos_v1:lifestealer,3,1,1
7441, none, alexscaves:toxic_caves, MONSTER, born_in_chaos_v1:missioner,4,1,1
7442, none, alexscaves:toxic_caves, MONSTER, born_in_chaos_v1:mother_spider,15,1,1
7443, none, alexscaves:toxic_caves, MONSTER, mowziesmobs:grottol,2,1,1
7444, none, alexscaves:toxic_caves, MONSTER, born_in_chaos_v1:mr_pumpkin,15,1,3
7445, none, alexscaves:toxic_caves, MONSTER, born_in_chaos_v1:nightmare_stalker,4,1,1
7446, none, alexscaves:toxic_caves, MONSTER, majruszsdifficulty:cursed_armor,30,1,3
7447, none, alexscaves:toxic_caves, MONSTER, majruszsdifficulty:illusioner,8,1,1
7448, none, alexscaves:toxic_caves, MONSTER, majruszsdifficulty:tank,3,1,1
7449, none, alexscaves:toxic_caves, MONSTER, born_in_chaos_v1:phantom_creeper,8,1,1
7450, none, alexscaves:toxic_caves, MONSTER, realmrpg_wyrms:red_wyrm,1,1,1
7451, none, alexscaves:toxic_caves, MONSTER, born_in_chaos_v1:restless_spirit,20,1,1
7452, none, alexscaves:toxic_caves, MONSTER, born_in_chaos_v1:siamese_skeletons,16,1,1
7453, none, alexscaves:toxic_caves, MONSTER, born_in_chaos_v1:sir_pumpkinhead,4,1,1
7454, none, alexscaves:toxic_caves, MONSTER, born_in_chaos_v1:skeleton_demoman,12,1,1
7455, none, alexscaves:toxic_caves, MONSTER, born_in_chaos_v1:skeleton_thrasher,8,1,1
7456, none, alexscaves:toxic_caves, MONSTER, born_in_chaos_v1:spirit_guide_assistant,9,2,2
7457, none, alexscaves:toxic_caves, MONSTER, born_in_chaos_v1:spirit_guide,16,1,1
7458, none, alexscaves:toxic_caves, MONSTER, born_in_chaos_v1:spiritof_chaos,8,1,1
7459, none, alexscaves:toxic_caves, MONSTER, born_in_chaos_v1:supreme_bonescaller,1,1,1
7460, none, alexscaves:toxic_caves, MONSTER, born_in_chaos_v1:swarmer,11,1,1
7461, none, alexscaves:toxic_caves, MONSTER, born_in_chaos_v1:zombie_bruiser,16,1,1
7462, none, alexscaves:toxic_caves, MONSTER, born_in_chaos_v1:zombie_clown,8,1,1
7463, none, alexscaves:toxic_caves, MONSTER, born_in_chaos_v1:zombie_fisherman,30,1,1
7464, none, alexscaves:toxic_caves, MONSTER, born_in_chaos_v1:zombie_lumberjack,25,1,1
7465, none, alexscaves:toxic_caves, CREATURE, naturalist:snail,10,2,3
7466, none, alexscaves:toxic_caves, CREATURE, born_in_chaos_v1:thornshell_crab,8,1,1
7467, none, alexscaves:toxic_caves, AMBIENT, alexscaves:gammaroach,55,8,8
7468, none, alexscaves:toxic_caves, AMBIENT, minecraft:bat,10,8,8
7469, none, alexscaves:toxic_caves, AMBIENT, alexsmobs:fly,3,2,3
7470, none, alexscaves:toxic_caves, AMBIENT, alexsmobs:cockroach,4,5,5
7471, none, alexscaves:toxic_caves, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid,10,4,6
7472, none, alexscaves:toxic_caves, WATER_CREATURE, born_in_chaos_v1:corpse_fish,5,3,5
7473, none, alexscaves:toxic_caves, WATER_CREATURE, born_in_chaos_v1:glutton_fish,2,1,1
7474, none, alexscaves:toxic_caves, WATER_AMBIENT, alexscaves:radgill,10,1,3
7475, none, alexscaves:toxic_caves, WATER_AMBIENT, alexsmobs:devils_hole_pupfish,23,5,12
7476, none, alexscaves:toxic_caves, WATER_AMBIENT, aquaculture:bluegill,20,1,6
7477, none, alexscaves:toxic_caves, WATER_AMBIENT, aquaculture:brown_trout,10,1,3
7478, none, alexscaves:toxic_caves, WATER_AMBIENT, aquaculture:carp,10,1,3
7479, none, alexscaves:toxic_caves, WATER_AMBIENT, aquaculture:catfish,1,1,1
7480, none, alexscaves:toxic_caves, WATER_AMBIENT, aquaculture:gar,6,1,2
7481, none, alexscaves:toxic_caves, WATER_AMBIENT, aquaculture:minnow,18,1,5
7482, none, alexscaves:toxic_caves, WATER_AMBIENT, aquaculture:muskellunge,3,1,1
7483, none, alexscaves:toxic_caves, WATER_AMBIENT, aquaculture:perch,20,1,6
7484, none, alexscaves:toxic_caves, WATER_AMBIENT, aquaculture:smallmouth_bass,10,1,3
7485, none, alexscaves:toxic_caves, cave_creature, alexscaves:raycat,10,1,1
7486, nether, incendium:toxic_heap, MONSTER, minecraft:phantom,10,1,1
7487, nether, incendium:toxic_heap, MONSTER, minecraft:magma_cube,90,1,3
7488, nether, incendium:toxic_heap, MONSTER, alexsmobs:bone_serpent,8,1,1
7489, nether, incendium:toxic_heap, MONSTER, alexsmobs:farseer,30,1,1
7490, nether, incendium:toxic_heap, MONSTER, born_in_chaos_v1:baby_skeleton,25,1,2
7491, nether, incendium:toxic_heap, MONSTER, born_in_chaos_v1:baby_spider,16,3,5
7492, nether, incendium:toxic_heap, MONSTER, born_in_chaos_v1:barrel_zombie,25,1,1
7493, nether, incendium:toxic_heap, MONSTER, born_in_chaos_v1:bloody_gadfly,15,1,1
7494, nether, incendium:toxic_heap, MONSTER, born_in_chaos_v1:bonescaller,11,1,1
7495, nether, incendium:toxic_heap, MONSTER, born_in_chaos_v1:corpse_fly,12,1,3
7496, nether, incendium:toxic_heap, MONSTER, born_in_chaos_v1:dark_vortex,14,1,1
7497, nether, incendium:toxic_heap, MONSTER, born_in_chaos_v1:decaying_zombie,30,1,1
7498, nether, incendium:toxic_heap, MONSTER, born_in_chaos_v1:decrepit_skeleton,20,1,1
7499, nether, incendium:toxic_heap, MONSTER, born_in_chaos_v1:dire_hound_leader,4,1,1
7500, nether, incendium:toxic_heap, MONSTER, born_in_chaos_v1:door_knight,13,1,1
7501, nether, incendium:toxic_heap, MONSTER, born_in_chaos_v1:dread_hound,15,3,5
7502, nether, incendium:toxic_heap, MONSTER, realmrpg_wyrms:ender_wyrm,1,1,3
7503, nether, incendium:toxic_heap, MONSTER, born_in_chaos_v1:fallen_chaos_knight,5,1,1
7504, nether, incendium:toxic_heap, MONSTER, born_in_chaos_v1:krampus,2,1,1
7505, nether, incendium:toxic_heap, MONSTER, born_in_chaos_v1:krampus_henchman,9,2,3
7506, nether, incendium:toxic_heap, MONSTER, born_in_chaos_v1:lifestealer,3,1,1
7507, nether, incendium:toxic_heap, MONSTER, born_in_chaos_v1:missioner,4,1,1
7508, nether, incendium:toxic_heap, MONSTER, born_in_chaos_v1:mother_spider,15,1,1
7509, nether, incendium:toxic_heap, MONSTER, mowziesmobs:grottol,2,1,1
7510, nether, incendium:toxic_heap, MONSTER, born_in_chaos_v1:mr_pumpkin,15,1,3
7511, nether, incendium:toxic_heap, MONSTER, majruszsdifficulty:cerberus,1,1,1
